#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
###DECISIONS;;;;;;;;;;;;;;x
#
emf_not_viet_buddhist_sub_sect;Choose Your Mahayana Sect;;;;;;;;;;;;;;x
emf_not_viet_buddhist_sub_sect_desc;The Mahayana branch of Buddhism is a broad denomination, with numerous sects within it.;;;;;;;;;;;;;;x
emf_not_viet_buddhist_monument;Build A Buddhist Monument;;;;;;;;;;;;;;x
emf_not_viet_buddhist_monument_desc;Construct a Buddhist monument to display both your wealth and your dedication to the Dharma.;;;;;;;;;;;;;;x
#
###EVENTS;;;;;;;;;;;;;;x
#
EVTDESC_emf_not_viet.1;Choose a Mahayana sect to patronise:;;;;;;;;;;;;;;x
EVTOPTA_emf_not_viet.1;Madhyamaka Buddhism;;;;;;;;;;;;;;x
EVTOPTB_emf_not_viet.1;Svatantrika Buddhism;;;;;;;;;;;;;;x
EVTOPTC_emf_not_viet.1;Yogacara Buddhism;;;;;;;;;;;;;;x
EVTDESC_emf_not_viet.2;Choose a Buddhist monument to sponsor the construction of:;;;;;;;;;;;;;;x
EVTOPTA_emf_not_viet.2;Construct a rock pillar inscription;;;;;;;;;;;;;;x
EVTOPTB_emf_not_viet.2;Construct a stupa;;;;;;;;;;;;;;x
#
###MODIFIERS;;;;;;;;;;;;;;x
#
sect_madhyamaka;Madhyamaka Buddhism;;;;;;;;;;;;;;x
sect_madhyamaka_desc;This character patronises Madhyamaka Buddhism, a school of thought which argues that all phenomena independently exist yet are dependent on each other.;;;;;;;;;;;;;;x
sect_svatantrika;Svatantrika Buddhism;;;;;;;;;;;;;;x
sect_svatantrika_desc;This character patronises Svatantrika Buddhism, the school of thought of Santaraksita who sought to synthesise the teachings of the Madhyamaka and Yogacara schools.;;;;;;;;;;;;;;x
sect_yogacara;Yogacara Buddhism;;;;;;;;;;;;;;x
sect_yogacara_desc;This character patronises Yogacara Buddhism, a school of thought which argues that all phenomena independently exist and are not dependent on each other.;;;;;;;;;;;;;;x
built_buddhist_monument;Buddhist Monument Constructed;;;;;;;;;;;;;;x
built_buddhist_monument_desc;This character has constructed a Buddhist monument in order to display their wealth and dedication to the Dharma.;;;;;;;;;;;;;;x
buddhist_pillar_inscription;Pillar Inscription;;;;;;;;;;;;;;x
buddhist_pillar_inscription_desc;This is a Buddhist rock pillar inscription, emulating the style of those created by Ashoka the Great and as such is a site of pilgrimage.;;;;;;;;;;;;;;x
buddhist_stupa;Stupa;;;;;;;;;;;;;;x
buddhist_stupa_desc;This is a stupa, a Buddhist temple which contains a relic linked to a Buddha or a famous Buddhist and as such is an important of site of pilgramage.;;;;;;;;;;;;;;x
